title_link,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
https://www.redfin.com/owner-estimate/fact-check/25767748,/8e02e64a487436b8e00a5bb00c5d0d13_genMid.17639723_0.jpg,2013 SE Reedway St,"Portland, OR 97202","$599,406","$574,000",4,3,"2,324",1920,SOLD BY REDFIN 12/14/17,"Amazingly redesigned - delightfully livable! The greatest ""Great Room"" w/gourmet + a chic gourmet ""Chef's Kitchen"", 4 pantries, gas range, butcher block counters, skylight. Dbl French Doors to decks & private yard. Inviting sitting room + main floor bdrm/study w/custom built-in's & French Doors. Master Bdrm, 2nd bdrm + bath up + hidden bonus room. Two bdrms + 3rd bath in finished basement. Llewellyn Elementary. Walk-Bike-Eat-Shop!",3,Bungalow,WESTMORELAND / SELLWOOD,Multnomah,"5,000 Sq. Ft.",8.0,8.0,6.0,66 / 100,50 / 100,93 / 100
https://www.redfin.com/owner-estimate/fact-check/25860039,/c82ac84ce167f7aa428356b0b444c878_genMid.17600866_0.jpg,3545 SE Long St,"Portland, OR 97202","$584,716","$560,000",5,3.5,"2,792",1945,SOLD BY REDFIN 11/30/17,"Reinvented classic with sunny disposition! Perfect combo of traditional charm & contemporary features! Light-filled & brimming w/flexibility. Hardwoods, fireplace + delightful Greatroom-type kit/dining - French Doors, skylight, marvelous pantry. Master w/WI closet + 2nd bdrm on main. Up: 3 bds/1 bth + pen loft. Family room, 1/2 bath in partially finished basement . Remarkable over-sized garage toys? ADU?. Convenient Reed neighborhood!",3,"Capecod, Traditional",Multnomah,17600866,"6,252 Sq. Ft.",5.0,5.0,6.0,69 / 100,48 / 100,94 / 100
https://www.redfin.com/owner-estimate/fact-check/25858118,/6681c480e5fe724e4adcd2509f70298a_genMid.18589834_0.jpg,8615 SE 11th Ave,"Portland, OR 97202","$499,866","$450,000",3,2,"2,002",1922,SOLD 11/08/18,"This stunning Craftsman is located in the heart of one of PDX's most desirable neighborhoods;Sellwood.Located w/i minutes to New Seasons&Starbucks,close to everything on SE Tacoma&SE 13th & several bike trails.The home offers beautiful Brazilian wd flrs on  main level,remodeled kit& a finished basement...just to name a few features of note.B/4 moving the sellers were working w/the city on plans to rebuild a new 2 car garage w/ADU above. [Home Energy Score = 2. HES Report at https://api.greenbuildingregistry.com/report/pdf/R267053-20180612.pdf]",3,"Bungalow, Craftsman",Multnomah,18589834,"5,000 Sq. Ft.",8.0,8.0,6.0,87 / 100,40 / 100,87 / 100
https://www.redfin.com/owner-estimate/fact-check/26518317,/77e33c8a9bbbb5c72a82d87861f0f0c6_genMid.18160396_1.jpg,7552 SE 29th Ave,"Portland, OR 97202","$1,335,270","$1,270,000",5,4,"4,261",2018,SOLD 11/06/18,"Beautiful New English Tudor Home in Eastmoreland! Certified Earth Advantage home features all of the modern conveniences. Luxury custom built-ins, hardwood floors, wainscoting, slab quartz counter tops, and stainless appliances. Open, sunny great room with a fireplace. Spacious media with wet bar and wine cellar. Sustainable, energy efficient, and quality craftsmanship built to perfection. Great schools and location! Walk to nice parks!",3,"English, Tudor",EASTMORELAND,Multnomah,"5,000 Sq. Ft.",8.0,8.0,6.0,37 / 100,49 / 100,69 / 100
https://www.redfin.com/owner-estimate/fact-check/26534020,/7a06e682c533a1b70cdb8f28c10c82ec_genMid.18321190_0.jpg,6124 SE 17th Ave,"Portland, OR 97202","$512,895","$505,000",3,2,"2,743",1920,SOLD 10/05/18,,3,Traditional,Multnomah,18321190,"5,000 Sq. Ft.",8.0,8.0,6.0,84 / 100,49 / 100,97 / 100
https://www.redfin.com/owner-estimate/fact-check/26361225,/14ccaccc1ecf0677d2e15821c4a69824_genMid.18160487_2.jpg,3704 SE 26th Ave,"Portland, OR 97202","$449,459","$444,000",3,1,"2,517",1925,SOLD 10/01/18,"Close-in SE craftsman/bungalow. Lg front porch, beautiful original windows, updated kitchen and electrical. Spacious living and dining rooms. Full basement w/shop and outside entrance.Corner lot with detached garage( may be great ADU option), patio and fenced back yard.  Surrounded by beautiful landscaping. Listing agent related to seller. Moments to Rhododendron Gardens, downtown, Woodstock & Reed College.  Parking on Rhone.",3,"Bungalow, Craftsman",Multnomah,18160487,"5,000 Sq. Ft.",5.0,5.0,6.0,81 / 100,57 / 100,94 / 100
https://www.redfin.com/owner-estimate/fact-check/26457166,/92eca1dafb577d5527908d0847bf6251_genMid.18430722_0.jpg,2801 SE 22nd Ave,"Portland, OR 97202","$490,491","$485,000",2,1,"2,144",1908,SOLD 9/28/18,"BOM! Buyer got cold feet. Bring your buyers to this charming well maintained home with lots of character located in the Hosford-Abernethy neighborhood with a walk score of 90! Recently refinished hardwoods in living and dining room, new roof on detached garage, updated double-paned vinyl windows, wired for security system. Basement has potential to double the living space or turn into ADU. [Home Energy Score = 5. HES Report at https://api.greenbuildingregistry.com/report/pdf/R183302-20180524.pdf]",1,"Cottage, Victorian",Multnomah,18430722,"5,000 Sq. Ft.",9.0,5.0,6.0,92 / 100,61 / 100,100 / 100
https://www.redfin.com/owner-estimate/fact-check/26432878,/661699b155c0728f6f2edee999d23688_genMid.18321126_8.jpg,2801 SE Tacoma St,"Portland, OR 97202","$738,647","$556,400",3,3.5,"3,411",1908,SOLD 9/14/18,"Urban farm at the corner of 28th and Tacoma.  .48 of an acre.  1908 Bungalow with all of it's charm intact.  Some updating, spacious rooms, hardwood floors, partially finished basement, master suite, out buildings, Portland Schools.  Truly one of a kind home in the city.  Next to Eastmoreland Golf, MAX Orange line and the Moreland Tennis Club. Received a transit score of 53 and a bikeable score of 75.",3,Bungalow,ARDENWALD-JOHNSON CREEK,Multnomah,0.48 Acres,8.0,8.0,6.0,47 / 100,53 / 100,73 / 100
https://www.redfin.com/owner-estimate/fact-check/26460489,/7f3f6c2203c332bb6fcf3d96a442eb8f_genMid.18329988_9.jpg,6030 SE 20th Ave,"Portland, OR 97202","$569,332","$564,500",3,2,"2,096",1924,SOLD 9/07/18,"Unique Bungalow:3 bedrooms+lg office,TV room.Prime Westmoreland block;walk to Sellwood for more shopping,parks & golf;walk score 67(seems higher) & bike score 82;gorgeous remodeled basement,optional quiet & cool living space;exc. light in 2 main floor bedrooms(back room can be office);newly painted exterior, central ac, seismic upgrades, back stair for possible rental.See virtual tour and house website. [Home Energy Score = 4. HES Report at https://api.greenbuildingregistry.com/report/pdf/R304091-20180614.pdf]",2,Bungalow,Multnomah,18329988,"5,000 Sq. Ft.",8.0,8.0,6.0,73 / 100,50 / 100,97 / 100
https://www.redfin.com/owner-estimate/fact-check/26599737,/58f2052112d378dc34c5927ed903293f_genMid.18188792_0.jpg,3530 SE Clinton St,"Portland, OR 97202","$528,355","$520,000",3,1,"2,532",1913,SOLD 9/07/18,"This beautiful Craftsman is perched above the street in the popular Clinton neighborhood.  The 3 bed/1 bth home has many updates while keeping all of the original charm intact.  Features include:wood floors throughout, built-ins, a freshly remodeled bathroom, new interior paint, period fixtures, a large kitchen with tons of storage, tankless H2O heater and HE Furnace.  On a bike Blvd. and close to all that Clinton/Division has to offer. [Home Energy Score = 3. HES Report at https://api.greenbuildingregistry.com/report/pdf/R299569-20180612.pdf]",3,Craftsman,Multnomah,18188792,"3,200 Sq. Ft.",9.0,5.0,6.0,84 / 100,52 / 100,96 / 100
