,link,image,addr,zip,redfin_price,sold_price,Beds,Bath,SqFt,YearBuilt,SoldTime,Disc,Stories,Style,Community,County,LotSize,ElemSchool,MidSchool,HighSchool,Walk,Transit,Bike
0,25767748,/8e02e64a487436b8e00a5bb00c5d0d13_genMid.17639723_0.jpg,2013 SE Reedway St,97202,599406,574000,4,3,2324,1920,SOLD BY REDFIN 12/14/17,"Amazingly redesigned - delightfully livable! The greatest ""Great Room"" w/gourmet + a chic gourmet ""Chef's Kitchen"", 4 pantries, gas range, butcher block counters, skylight. Dbl French Doors to decks & private yard. Inviting sitting room + main floor bdrm/study w/custom built-in's & French Doors. Master Bdrm, 2nd bdrm + bath up + hidden bonus room. Two bdrms + 3rd bath in finished basement. Llewellyn Elementary. Walk-Bike-Eat-Shop!",3,Bungalow,WESTMORELAND / SELLWOOD,Multnomah,"5,000 Sq. Ft.",8,8,6,66,50,93
1,25860039,/c82ac84ce167f7aa428356b0b444c878_genMid.17600866_0.jpg,3545 SE Long St,97202,584716,560000,5,3.5,2792,1945,SOLD BY REDFIN 11/30/17,"Reinvented classic with sunny disposition! Perfect combo of traditional charm & contemporary features! Light-filled & brimming w/flexibility. Hardwoods, fireplace + delightful Greatroom-type kit/dining - French Doors, skylight, marvelous pantry. Master w/WI closet + 2nd bdrm on main. Up: 3 bds/1 bth + pen loft. Family room, 1/2 bath in partially finished basement . Remarkable over-sized garage toys? ADU?. Convenient Reed neighborhood!",3,"Capecod, Traditional",Multnomah,17600866,"6,252 Sq. Ft.",5,5,6,69,48,94
2,25858118,/6681c480e5fe724e4adcd2509f70298a_genMid.18589834_0.jpg,8615 SE 11th Ave,97202,499866,450000,3,2,2002,1922,SOLD 11/08/18,"This stunning Craftsman is located in the heart of one of PDX's most desirable neighborhoods;Sellwood.Located w/i minutes to New Seasons&Starbucks,close to everything on SE Tacoma&SE 13th & several bike trails.The home offers beautiful Brazilian wd flrs on  main level,remodeled kit& a finished basement...just to name a few features of note.B/4 moving the sellers were working w/the city on plans to rebuild a new 2 car garage w/ADU above. [Home Energy Score = 2. HES Report at https://api.greenbuildingregistry.com/report/pdf/R267053-20180612.pdf]",3,"Bungalow, Craftsman",Multnomah,18589834,"5,000 Sq. Ft.",8,8,6,87,40,87
3,26518317,/77e33c8a9bbbb5c72a82d87861f0f0c6_genMid.18160396_1.jpg,7552 SE 29th Ave,97202,1335270,1270000,5,4,4261,2018,SOLD 11/06/18,"Beautiful New English Tudor Home in Eastmoreland! Certified Earth Advantage home features all of the modern conveniences. Luxury custom built-ins, hardwood floors, wainscoting, slab quartz counter tops, and stainless appliances. Open, sunny great room with a fireplace. Spacious media with wet bar and wine cellar. Sustainable, energy efficient, and quality craftsmanship built to perfection. Great schools and location! Walk to nice parks!",3,"English, Tudor",EASTMORELAND,Multnomah,"5,000 Sq. Ft.",8,8,6,37,49,69
5,26361225,/14ccaccc1ecf0677d2e15821c4a69824_genMid.18160487_2.jpg,3704 SE 26th Ave,97202,449459,444000,3,1,2517,1925,SOLD 10/01/18,"Close-in SE craftsman/bungalow. Lg front porch, beautiful original windows, updated kitchen and electrical. Spacious living and dining rooms. Full basement w/shop and outside entrance.Corner lot with detached garage( may be great ADU option), patio and fenced back yard.  Surrounded by beautiful landscaping. Listing agent related to seller. Moments to Rhododendron Gardens, downtown, Woodstock & Reed College.  Parking on Rhone.",3,"Bungalow, Craftsman",Multnomah,18160487,"5,000 Sq. Ft.",5,5,6,81,57,94
6,26457166,/92eca1dafb577d5527908d0847bf6251_genMid.18430722_0.jpg,2801 SE 22nd Ave,97202,490491,485000,2,1,2144,1908,SOLD 9/28/18,"BOM! Buyer got cold feet. Bring your buyers to this charming well maintained home with lots of character located in the Hosford-Abernethy neighborhood with a walk score of 90! Recently refinished hardwoods in living and dining room, new roof on detached garage, updated double-paned vinyl windows, wired for security system. Basement has potential to double the living space or turn into ADU. [Home Energy Score = 5. HES Report at https://api.greenbuildingregistry.com/report/pdf/R183302-20180524.pdf]",1,"Cottage, Victorian",Multnomah,18430722,"5,000 Sq. Ft.",9,5,6,92,61,100
7,26432878,/661699b155c0728f6f2edee999d23688_genMid.18321126_8.jpg,2801 SE Tacoma St,97202,738647,556400,3,3.5,3411,1908,SOLD 9/14/18,"Urban farm at the corner of 28th and Tacoma.  .48 of an acre.  1908 Bungalow with all of it's charm intact.  Some updating, spacious rooms, hardwood floors, partially finished basement, master suite, out buildings, Portland Schools.  Truly one of a kind home in the city.  Next to Eastmoreland Golf, MAX Orange line and the Moreland Tennis Club. Received a transit score of 53 and a bikeable score of 75.",3,Bungalow,ARDENWALD-JOHNSON CREEK,Multnomah,0.48 Acres,8,8,6,47,53,73
8,26460489,/7f3f6c2203c332bb6fcf3d96a442eb8f_genMid.18329988_9.jpg,6030 SE 20th Ave,97202,569332,564500,3,2,2096,1924,SOLD 9/07/18,"Unique Bungalow:3 bedrooms+lg office,TV room.Prime Westmoreland block;walk to Sellwood for more shopping,parks & golf;walk score 67(seems higher) & bike score 82;gorgeous remodeled basement,optional quiet & cool living space;exc. light in 2 main floor bedrooms(back room can be office);newly painted exterior, central ac, seismic upgrades, back stair for possible rental.See virtual tour and house website. [Home Energy Score = 4. HES Report at https://api.greenbuildingregistry.com/report/pdf/R304091-20180614.pdf]",2,Bungalow,Multnomah,18329988,"5,000 Sq. Ft.",8,8,6,73,50,97
9,26599737,/58f2052112d378dc34c5927ed903293f_genMid.18188792_0.jpg,3530 SE Clinton St,97202,528355,520000,3,1,2532,1913,SOLD 9/07/18,"This beautiful Craftsman is perched above the street in the popular Clinton neighborhood.  The 3 bed/1 bth home has many updates while keeping all of the original charm intact.  Features include:wood floors throughout, built-ins, a freshly remodeled bathroom, new interior paint, period fixtures, a large kitchen with tons of storage, tankless H2O heater and HE Furnace.  On a bike Blvd. and close to all that Clinton/Division has to offer. [Home Energy Score = 3. HES Report at https://api.greenbuildingregistry.com/report/pdf/R299569-20180612.pdf]",3,Craftsman,Multnomah,18188792,"3,200 Sq. Ft.",9,5,6,84,52,96
10,26391398,/ef3d42c664a8efa688b232fa09c70657_genMid.18363432_0.jpg,3925 SE Harold St,97202,616154,622000,5,2.5,3991,1904,SOLD 8/31/18,"NEW PRICE on this RARE AND UNIQUE WOODSTOCK HOME! Spectacular features fill this home from top to bottom. Views, character and charm, history, natural woodwork throughout, leaded glass built in buffet, hardwood floors, french doors leading to sunroom, pocket doors,  3 fireplaces (living room, office, kitchen), sleeping porch, full basement with mother-in-law area, 2 car garage with mechanics pit, and more! [Home Energy Score = 1. HES Report at https://api.greenbuildingregistry.com/report/pdf/R312804-20180226.pdf]",3,Other,Portland Southeast,Multnomah,0.28 Acres,7,5,6,72,48,91
